City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
89,tasiilaq,5,GL,1554389400,100,65.61,-37.64,26.6,4.7
90,kapaa,75,US,1554390967,73,22.08,-159.32,71.6,10.29
91,maracacume,92,BR,1554391200,100,-2.04,-45.96,74.77,5.97
92,canton,90,US,1554390904,57,40.8,-81.38,50,4.7
93,bismarck,90,US,1554391103,86,46.81,-100.78,39.2,20.8
94,saint anthony,90,US,1554391052,81,43.97,-111.68,45,6.2
95,kloulklubed,75,PW,1554385980,88,7.04,134.26,78.8,3.36
96,atuona,92,PF,1554391202,100,-9.8,-139.03,81.43,13.24
97,los llanos de aridane,40,ES,1554390903,64,28.66,-17.92,68,18.34
98,zhangzhou,20,CN,1554386400,88,24.51,117.65,64.4,6.71
99,yar-sale,56,RU,1554391203,78,66.83,70.83,24.91,9.22
100,tromso,40,NO,1554389400,84,69.65,18.96,35.6,9.17
101,falun,0,SE,1554390616,35,60.61,15.63,55.99,9.17
102,pocinhos,40,BR,1554386400,69,-7.08,-36.06,80.6,10.29
103,east london,20,ZA,1554390000,72,-33.02,27.91,66.2,18.34
104,calabozo,0,VE,1554391205,50,8.92,-67.43,90.25,14.47
105,avera,1,US,1554391077,55,33.19,-82.53,68,4.7
106,vangaindrano,48,MG,1554391206,100,-23.35,47.6,71.62,2.28
107,pascagoula,90,US,1554391093,93,30.37,-88.56,66.2,5.82
108,chiredzi,0,ZW,1554391207,44,-21.05,31.67,85.75,6.76
109,palamos,75,ES,1554391205,62,41.85,3.13,59,10.29
110,bereda,75,ES,1554391205,87,43.27,-7.54,52,17.22
111,itirapina,0,BR,1554386400,51,-22.26,-47.82,82.4,4.7
112,bathsheba,20,BB,1554386400,54,13.22,-59.52,84.2,24.16
113,hermanus,92,ZA,1554390970,83,-34.42,19.24,64.99,4
114,pionerskiy,0,RU,1554391209,66,61.2,62.86,35.8,3.74
115,codrington,12,AU,1554391174,93,-28.95,153.24,69.8,4.74
116,cape town,40,ZA,1554391090,72,-33.93,18.42,66.99,10.29
117,chifeng,0,CN,1554391210,27,42.27,118.96,41.2,11.56
118,syracuse,1,US,1554390981,43,43.05,-76.15,37.99,10.29
119,saint-francois,75,FR,1554390970,100,46.42,3.91,50,5.82
120,jalu,0,LY,1554391208,31,29.03,21.55,78.91,4.41
121,teknaf,0,BD,1554391212,94,20.86,92.31,73.78,3.18
122,chicaman,76,GT,1554391213,94,15.4,-90.73,67.48,1.83
123,batouri,32,CM,1554391213,75,4.44,14.36,85.66,4.63
124,pleshanovo,0,RU,1554386400,20,57.46,28.17,57.2,8.95
125,sumbe,20,AO,1554386400,91,-11.2,13.84,87.8,4.7
126,port alfred,88,ZA,1554390985,85,-33.59,26.89,66,8.99
127,kutum,0,SD,1554391214,12,14.2,24.66,89.26,8.43
128,valdivia,40,CL,1554386400,71,-39.81,-73.25,53.6,5.82
